unit_id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cluster_id,cumulative_drift,d_prime,firing_rate,isi_violations,isolation_distance,L_ratio,local_index,max_drift,nn_hit_rate,nn_miss_rate,peak_channel_id,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,waveform_duration,filtering,probe_channel_number,probe_horizontal_position,probe_id,probe_vertical_position,structure_acronym,ecephys_structure_id,ecephys_structure_acronym,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,probe_description,location,probe_sampling_rate,probe_lfp_sampling_rate,probe_has_lfp_data,ecephys_session_id
950911880,0.149040659649124,154.688625,0.0286141345195808,194,90.2,3.25300062934228,10.1062369221047,0.0244006369114307,55.53522608041,0.0393182219964559,193,39.2,0.864,0.0216216216216216,850264652,0.99,-0.0686579771088268,0.645737361800693,0.143923369249814,3.774533595429,40.0,0.0,-0.343383584589615,0.274706867671692,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,253,11,810755797,2540,VISam,394.0,VISam,7455.0,1140.0,7585.0,probeA,See electrode locations,29999.9548460456,1249.998118585235,True,715093703
950911873,0.212998189166448,62.672025,0.0158780719546517,193,194.33,5.00543857625863,2.9237582784943,0.0306883528351346,66.4114488533568,0.0011014897825416,192,48.06,0.98153547133139,0.00110455282869076,850264652,0.99,-0.00451069691804227,0.143710278189962,0.100406163423597,2.09548995751416,80.0,0.274706867671692,0.0,0.920268006700168,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,253,11,810755797,2540,VISam,394.0,VISam,7455.0,1140.0,7585.0,probeA,See electrode locations,29999.9548460456,1249.998118585235,True,715093703
950911932,0.195935534997582,51.526605,0.00719990190254157,199,220.66,3.92577721251286,5.17606935578316,0.0244791505075074,62.6703871465841,0.00484552766172883,198,44.43,0.933333333333333,0.00388716126166148,850264658,0.99,-0.0312609658063238,0.119735448584361,0.114485359406224,1.94715754106046,70.0,0.343383584589614,0.274706867671692,0.727973199329983,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,256,43,810755797,2580,VISam,394.0,VISam,7444.0,1104.0,7592.0,probeA,See electrode locations,29999.9548460456,1249.998118585235,True,715093703
950911986,0.175943798128977,61.300785,0.00361932482161735,204,192.31,4.18731394235466,3.91716417937434,0.0256450894344806,59.6513270227114,0.00688622208209084,203,48.3,0.954121863799283,0.00251704247509177,850264672,0.99,-0.0432879987461988,0.175892672805723,0.0592510542019289,2.30200966288389,60.0,0.686767169179227,0.0686767169179227,0.590619765494137,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,263,27,810755797,2640,VISam,394.0,VISam,7422.0,1031.0,7604.0,probeA,See electrode locations,29999.9548460456,1249.998118585235,True,715093703
950912065,0.293969547303268,74.5953,0.018064862707198,211,108.72,4.0339252766097,5.48437980623242,0.0479693850619453,59.2197081666823,0.0153534389117135,210,33.74,0.808666666666667,0.0115446441619173,850264676,0.99,-0.0507849080850555,0.282446487048295,0.101053858579012,2.92496893555333,60.0,0.0,-0.343383584589615,0.425795644891122,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,265,11,810755797,2660,VISam,394.0,VISam,7417.0,1013.0,7607.0,probeA,See electrode locations,29999.9548460456,1249.998118585235,True,715093703
950912109,2.0449828827868,63.1306649999999,0.0835126093127736,215,167.06,2.82632256518432,3.91938056172718,0.0768482801914522,39.3916264025842,0.0612779506052195,214,35.77,0.816872427983539,0.00458972741924182,850264678,0.99,-0.00021842533792752,0.0305433086058838,0.139848250745949,1.97134115743555,70.0,1.23618090452261,-1.30485762144054,1.31859296482412,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,266,59,810755797,2680,VISam,394.0,VISam,7414.0,1003.0,7609.0,probeA,See electrode locations,29999.9548460456,1249.998118585235,True,715093703
950912226,0.785385831888878,147.85641,0.00222445998745891,225,134.13,5.10489494883134,7.36317213121763,0.162100804089987,85.0939130457991,0.00195549301517291,224,42.2,0.977287909151637,0.00228046170578536,850264696,0.99,-0.0896305304333852,0.403885098544786,0.0473639053966937,3.57841024671927,80.0,0.824120603015075,0.0686767169179227,0.604355108877722,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,275,27,810755797,2760,VISam,394.0,VISam,7388.0,910.0,7621.0,probeA,See electrode locations,29999.9548460456,1249.998118585235,True,715093703
950912214,0.751501624265952,145.691325,0.00695367072943807,224,168.86,4.36265627039704,3.66706292861262,0.195083160238554,59.7807555561264,0.00385912843499726,223,29.15,0.887096774193548,0.000888706590101176,850264696,0.99,-0.0708051245932127,0.415916779481694,0.1622220203462,3.30684884009892,100.0,1.03996171332855,0.137353433835846,0.563149078726968,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,275,27,810755797,2760,VISam,394.0,VISam,7388.0,910.0,7621.0,probeA,See electrode locations,29999.9548460456,1249.998118585235,True,715093703
950912190,0.330202047558801,133.37142,0.000206938697420264,222,143.39,3.93478324900625,6.12643077833714,0.0151437540631483,79.4424141485885,0.000733056077170293,221,48.18,0.992952783650458,0.000559812462824954,850264694,0.99,-0.0683045282371723,0.347987552613144,0.0831120839705164,3.68643597524015,90.0,0.431682220626944,0.0,0.590619765494137,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,274,59,810755797,2760,VISam,394.0,VISam,7390.0,919.0,7620.0,probeA,See electrode locations,29999.9548460456,1249.998118585235,True,715093703
950912164,0.250278742300559,93.55827,0.00376804689507361,220,236.14,4.54055482872019,6.75425024270262,0.0814675939992723,68.9907154582106,0.006571873414533,219,41.15,0.937333333333333,0.00796885902096875,850264694,0.99,-0.041725656017332,0.260592954685692,0.153867776918904,2.5423784647092,80.0,0.892797319932998,0.412060301507537,0.645561139028476,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,274,59,810755797,2760,VISam,394.0,VISam,7390.0,919.0,7620.0,probeA,See electrode locations,29999.9548460456,1249.998118585235,True,715093703
