unit_id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cluster_id,cumulative_drift,d_prime,firing_rate,isi_violations,isolation_distance,L_ratio,local_index,max_drift,nn_hit_rate,nn_miss_rate,peak_channel_id,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,waveform_duration,filtering,probe_channel_number,probe_horizontal_position,probe_id,probe_vertical_position,structure_acronym,ecephys_structure_id,ecephys_structure_acronym,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,probe_description,location,probe_sampling_rate,probe_lfp_sampling_rate,probe_has_lfp_data,ecephys_session_id
950939257,0.530065285887711,112.858785,0.00319080188125786,271,78.73,3.68653177897811,18.3800848584806,0.0606300253447254,88.9703402574912,0.0104632150792019,268,32.22,0.973333333333333,0.00466702566864118,850260417,0.99,-0.0608082168326423,0.41156386684239,0.0701600491158892,2.33874986452307,40.0,0.0,0.0,0.302177554438861,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,247,27,810755803,2480,VISl,409.0,VISl,8666.0,2312.0,9400.0,probeD,See electrode locations,29999.9081000219,1249.996170834245,True,715093703
950939347,1.44541337459584,165.387495,0.00662652782585436,276,153.07,5.3350176396383,2.61578289228469,0.0569080889734566,78.2151007772565,0.000268906095728675,273,40.76,0.997455470737914,6.84603272403642e-05,850260425,0.99,-0.130313808182191,0.0563515545549546,0.166400618354596,2.07772551141879,60.0,0.68676716917923,0.618090452261306,1.22244556113903,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,251,27,810755803,2520,VISl,409.0,VISl,8686.0,2278.0,9428.0,probeD,See electrode locations,29999.9081000219,1249.996170834245,True,715093703
950942974,0.157660306715719,206.421735,0.000943075741609915,472,89.61,4.98857851436234,3.21510977204919,0.0037669146584827,90.4909727718428,0.000969670331697704,465,38.93,0.98536036036036,0.000790052212146194,850260423,0.99,-0.0933964661807573,0.682083180517405,0.157839417630173,3.39047647244398,50.0,0.68676716917923,0.0,0.65929648241206,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,250,59,810755803,2520,VISl,409.0,VISl,8682.0,2285.0,9423.0,probeD,See electrode locations,29999.9081000219,1249.996170834245,True,715093703
950939479,0.221192926426465,221.672295,0.00697686466619772,284,64.13,3.78129473907625,10.2588887808536,0.0147991489145669,77.6447669796557,0.0093552472100818,281,40.56,0.984666666666667,0.00286621736772794,850260431,0.99,-0.0546603506782164,0.668137933755419,0.00466042863835842,1.53752082256959,50.0,0.686767169179227,-0.48073701842546,0.782914572864322,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,254,59,810755803,2560,VISl,409.0,VISl,8697.0,2257.0,9445.0,probeD,See electrode locations,29999.9081000219,1249.996170834245,True,715093703
950939523,0.426048970967817,161.460975,0.000986533102575595,290,337.68,5.91823154369503,1.32030600016069,0.245708897514348,63.3974098001503,0.00140075196778205,284,39.68,0.950920245398773,0.000440513706753414,850260435,0.95,-0.0824082676471358,0.453955842140613,0.220687711758691,3.94125208076588,80.0,1.16750418760469,0.068676716917923,0.631825795644891,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,256,43,810755803,2580,VISl,409.0,VISl,8705.0,2242.0,9456.0,probeD,See electrode locations,29999.9081000219,1249.996170834245,True,715093703
950939509,0.44723778898924,150.94638,0.0217767529486918,289,154.82,3.92588095330731,3.81661828892152,0.0454431951345097,74.8925243594955,0.000667956103524445,283,39.16,0.995771670190275,0.000384871068192156,850260435,0.99,-0.158541996251661,0.653369185623782,0.170693549781605,3.6354505029523,40.0,-0.686767169179227,0.343383584589614,0.247236180904523,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,256,43,810755803,2580,VISl,409.0,VISl,8705.0,2242.0,9456.0,probeD,See electrode locations,29999.9081000219,1249.996170834245,True,715093703
950939678,0.761142506449293,214.78158,0.000640705396887784,298,56.01,5.42568802241625,8.18841127804437,0.141118635988783,91.8958240798562,0.00126256691646422,292,15.78,0.991333333333333,0.00146359312111233,850260445,0.98,-0.157780176798181,0.926017547548918,0.239821622861902,4.40471104063277,40.0,2.4036850921273,0.0,0.288442211055276,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,261,11,810755803,2620,VISl,409.0,VISl,8724.0,2206.0,9483.0,probeD,See electrode locations,29999.9081000219,1249.996170834245,True,715093703
950939641,1.0729851100851,210.45297,0.000295950743361826,296,237.34,5.68250048634458,3.04972090177963,0.00837311768137088,73.4161720370112,0.0021138840025149,290,41.45,0.992063492063492,0.000314531348291046,850260447,0.99,-0.283832489423764,0.13295742844241,0.175057001167282,2.84472170560239,30.0,,0.686767169179229,1.27738693467337,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,262,59,810755803,2640,VISl,409.0,VISl,8728.0,2198.0,9488.0,probeD,See electrode locations,29999.9081000219,1249.996170834245,True,715093703
950942129,0.62868328850536,215.84628,0.0018372163971954,428,105.38,3.45707669510756,1.12177702334843,0.185658809636677,55.5940336178327,0.00202052867197233,421,66.26,0.92948717948718,0.00104419293990838,850260453,0.96,-0.139630114630374,0.559020497054852,0.0901919987522725,2.05637333910595,60.0,-0.549413735343383,-0.68676716917923,0.206030150753769,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,265,11,810755803,2660,VISl,409.0,VISl,8740.0,2175.0,9504.0,probeD,See electrode locations,29999.9081000219,1249.996170834245,True,715093703
950940157,0.593766392017265,262.736955,0.0353575823021839,325,341.82,,0.57792605861153,0.0,,,319,204.49,,0.0,850260457,0.99,-0.0865841524858046,0.330337205004847,0.119725515126009,1.56779177976824,40.0,,-0.274706867671692,0.192294807370184,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,267,27,810755803,2680,VISl,409.0,VISl,8747.0,2160.0,9515.0,probeD,See electrode locations,29999.9081000219,1249.996170834245,True,715093703
