unit_id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cluster_id,cumulative_drift,d_prime,firing_rate,isi_violations,isolation_distance,L_ratio,local_index,max_drift,nn_hit_rate,nn_miss_rate,peak_channel_id,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,waveform_duration,filtering,probe_channel_number,probe_horizontal_position,probe_id,probe_vertical_position,structure_acronym,ecephys_structure_id,ecephys_structure_acronym,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,probe_description,location,probe_sampling_rate,probe_lfp_sampling_rate,probe_has_lfp_data,ecephys_session_id
950930145,7.03174177657713,102.55557,0.0825252044838452,410,202.02,4.34382729227425,9.91059806429688,0.0116336805240898,78.4080447382448,0.00263231574196547,398,40.26,0.976666666666667,0.00115927628037925,850261708,0.98,-0.0225408285078364,0.237696549033632,0.115804847309517,2.59040399079214,30.0,-5.83752093802345,,0.590619765494137,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,257,11,810755801,2580,VISp,385.0,VISp,8586.0,1465.0,8212.0,probeC,See electrode locations,29999.9854696171,1249.999394567375,True,715093703
950930105,0.601677446420454,79.86069,0.0957608598045507,408,145.08,5.05211077373814,11.0546193417678,0.0110819321998627,100.175017645034,0.00694685697313408,396,37.75,0.974666666666667,0.00718449234106005,850261706,0.99,-0.0770129379942511,0.200194522920419,-0.0236743777051471,1.29451308422622,40.0,3.77721943048576,-0.686767169179227,0.219765494137353,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,256,43,810755801,2580,VISp,385.0,VISp,8584.0,1477.0,8213.0,probeC,See electrode locations,29999.9854696171,1249.999394567375,True,715093703
950930276,0.517356250082052,82.9042499999999,0.0133488669808343,415,101.96,3.67060724722989,8.77289984165603,0.0252944118136452,75.6444625278082,0.00247195830973416,403,40.34,0.976666666666667,0.00258256947475629,850261712,0.99,-0.0274128848218701,0.195659724603678,0.0999180255325271,2.09024335563459,60.0,1.44221105527638,-0.343383584589615,0.865326633165829,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,259,27,810755801,2600,VISp,385.0,VISp,8591.0,1441.0,8210.0,probeC,See electrode locations,29999.9854696171,1249.999394567375,True,715093703
950933698,0.476703490042036,107.32878,2.28687276432576e-05,601,152.21,4.42831497845034,1.27770872244977,0.0259232457172365,47.931608420658,0.00430466054906874,582,42.88,0.670731707317073,0.00255427841634738,850261710,0.98,-0.0317221548841168,0.277303663610402,0.0477636966383691,2.94212493752498,50.0,0.96147403685092,-2.74706867671692,0.824120603015075,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,258,59,810755801,2600,VISp,385.0,VISp,8589.0,1453.0,8211.0,probeC,See electrode locations,29999.9854696171,1249.999394567375,True,715093703
950930237,0.567728416150787,134.57301,0.00188929614442823,413,81.63,3.70371194398216,3.28031051649087,0.0235979585184845,50.5454175988326,0.00873887616996689,401,54.23,0.936507936507936,0.00112359550561798,850261710,0.98,-0.0435615479288434,0.328498394661072,0.00944462667961062,2.87528775571362,50.0,0.686767169179229,0.343383584589615,0.796649916247906,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,258,59,810755801,2600,VISp,385.0,VISp,8589.0,1453.0,8211.0,probeC,See electrode locations,29999.9854696171,1249.999394567375,True,715093703
950930215,0.359910864024322,87.88728,0.0133655691637046,412,169.21,3.08461434433703,6.51444015038347,0.252301260212107,58.6110182519562,0.00669405252079591,400,50.25,0.907496012759171,0.00532247964934252,850261710,0.99,-0.0180073847592116,0.270078296842346,0.108335072480787,2.31783767797144,50.0,0.0,0.0,0.824120603015075,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,258,59,810755801,2600,VISp,385.0,VISp,8589.0,1453.0,8211.0,probeC,See electrode locations,29999.9854696171,1249.999394567375,True,715093703
950930358,0.503798327591587,91.88673,0.0642254961005454,419,169.25,3.543692869383,10.5205470320128,0.318126448706834,70.5776955576261,0.0059130752563658,407,50.13,0.93,0.00829522015962694,850261716,0.99,-0.0398203211091112,0.251681529471718,0.0493208105193227,2.41776066946491,40.0,2.06030150753769,0.343383584589615,0.686767169179229,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,261,11,810755801,2620,VISp,385.0,VISp,8596.0,1416.0,8207.0,probeC,See electrode locations,29999.9854696171,1249.999394567375,True,715093703
950930340,0.480841863251129,183.61161,1.78069065162726e-05,418,51.22,4.75275476585694,1.6743675013439,0.0,55.4504653814808,0.00207893352661291,406,41.0,0.93,0.000269360269360269,850261716,0.97,-0.078822238239059,0.509975588246852,0.127983715379853,3.87175238459437,60.0,2.26633165829146,0.0,0.741708542713568,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,261,11,810755801,2620,VISp,385.0,VISp,8596.0,1416.0,8207.0,probeC,See electrode locations,29999.9854696171,1249.999394567375,True,715093703
950930437,0.696937675622591,107.46294,0.00722922968110891,425,200.18,5.01681477259053,1.26404640754906,0.211893212400734,53.3235995796758,0.00160213351207367,412,42.98,0.901041666666667,0.000268384326355341,850261720,0.99,-0.0609289553143227,0.289405714867135,0.0152613230432917,2.76070796745477,100.0,1.29504666188083,0.137353433835846,0.65929648241206,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,263,27,810755801,2640,VISp,385.0,VISp,8601.0,1392.0,8205.0,probeC,See electrode locations,29999.9854696171,1249.999394567375,True,715093703
950930423,0.612909578016143,149.32554,1.37884975496088e-05,423,103.68,4.96949223432999,2.119126661624,0.028272259548448,77.1321131630868,0.000163931143790968,411,51.53,0.959770114942529,0.000472143531633617,850261718,0.98,-0.0926145193432259,0.376442825664531,0.164818843201664,2.78557768480351,70.0,0.892797319932999,0.0,0.700502512562814,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,262,59,810755801,2640,VISp,385.0,VISp,8599.0,1404.0,8206.0,probeC,See electrode locations,29999.9854696171,1249.999394567375,True,715093703
